NrValue;Country;Region;SquadSize;AgeMean;Value;ValueMean;LogValueMean;EloRanking;LogEloRanking
1,00;France;UEFA;23,00;26,20;1210,00;52,70;1,72;2085,00;3,32
2,00;England;UEFA;28,00;26,00;1470,00;52,39;1,72;1999,00;3,30
3,00;Brazil;CONMEBOL;26,00;25,40;943,10;36,27;1,56;2028,00;3,31
4,00;Spain;UEFA;26,00;26,80;906,00;34,85;1,54;2019,00;3,31
5,00;Portugal;UEFA;32,00;26,60;1060,00;33,04;1,52;2013,00;3,30
6,00;Argentina;CONMEBOL;24,00;27,00;727,70;30,32;1,48;2139,00;3,33
7,00;Germany;UEFA;23,00;28,30;672,00;29,22;1,47;1921,00;3,28
8,00;Netherlands;UEFA;22,00;27,10;610,00;27,73;1,44;1968,00;3,29
9,00;Italy;UEFA;28,00;26,00;757,00;27,04;1,43;1956,00;3,29
10,00;Belgium;UEFA;25,00;26,00;540,80;21,63;1,34;1986,00;3,30
11,00;Norway;UEFA;24,00;25,00;474,20;19,76;1,30;1737,00;3,24
12,00;Uruguay;CONMEBOL;27,00;25,20;407,20;15,08;1,18;1989,00;3,30
13,00;Denmark;UEFA;25,00;26,00;368,50;14,74;1,17;1822,00;3,26
14,00;United States;CONCACAF;23,00;24,40;311,50;13,54;1,13;1800,00;3,26
15,00;Morocco;CAF;24,00;25,30;321,40;13,39;1,13;1767,00;3,25
16,00;Sweden;UEFA;26,00;26,30;343,50;13,21;1,12;1697,00;3,23
17,00;Nigeria;CAF;27,00;26,20;343,50;12,72;1,10;1629,00;3,21
18,00;Ukraine;UEFA;28,00;25,50;354,50;12,66;1,10;1863,00;3,27
19,00;Ivory Coast;CAF;25,00;26,60;312,08;12,48;1,10;1631,00;3,21
20,00;Croatia;UEFA;23,00;27,60;286,00;12,43;1,09;1953,00;3,29
21,00;TŸrkiye;UEFA;27,00;25,50;303,45;11,24;1,05;1750,00;3,24
22,00;Serbia;UEFA;22,00;27,10;227,60;10,35;1,01;1788,00;3,25
23,00;Austria;UEFA;26,00;25,60;265,80;10,22;1,01;1857,00;3,27
24,00;Senegal;CAF;29,00;26,70;289,40;9,98;1,00;1776,00;3,25
25,00;Japan;AFC;23,00;26,40;225,20;9,79;0,99;1851,00;3,27
26,00;Scotland;UEFA;25,00;27,40;239,40;9,58;0,98;1776,00;3,25
27,00;Ecuador;CONMEBOL;26,00;25,50;243,75;9,38;0,97;1873,00;3,27
28,00;Mexico;CONCACAF;23,00;27,00;210,00;9,13;0,96;1800,00;3,26
29,00;Colombia;CONMEBOL;26,00;26,90;225,00;8,65;0,94;1998,00;3,30
30,00;Switzerland;UEFA;26,00;27,70;223,20;8,58;0,93;1804,00;3,26
31,00;Canada;CONCACAF;23,00;24,80;187,20;8,14;0,91;1716,00;3,23
32,00;Republic of Ireland;UEFA;27,00;24,90;215,90;8,00;0,90;1607,00;3,21
